- : 4914, 3016s, 949.19hPa, 26.29°C, 549.00m; (sol) 
 - : 4996, 3067s, 936.89hPa, 21.62°C, 657.00m; (sol) 
 - : 4997, 3067s, 938.29hPa, 21.60°C, 646.00m; (sol) 
 - : 4998, 3068s, 940.29hPa, 21.57°C, 629.00m; (sol) 
 - : 4999, 3069s, 941.92hPa, 21.55°C, 612.00m; (sol) 
 - : 5000, 3069s, 942.86hPa, 21.53°C, 602.00m; (sol) 
 - : 5001, 3070s, 944.17hPa, 21.51°C, 592.00m; (sol) 
 - : 5002, 3071s, 946.34hPa, 21.50°C, 576.00m; (sol) 
 - : 5003, 3071s, 948.93hPa, 21.50°C, 553.00m; (sol) 
 - : 5004, 3072s, 949.85hPa, 21.49°C, 539.00m; (sol) 
 - : 5005, 3072s, 950.59hPa, 21.50°C, 537.00m; 
 - : 5006, 3073s, 950.83hPa, 21.51°C, 534.00m; 
 - : 5007, 3074s, 950.91hPa, 21.53°C, 533.00m; 
 - : 5008, 3074s, 950.56hPa, 21.54°C, 536.00m; 
 - : 5009, 3075s, 950.83hPa, 21.53°C, 535.00m; 
 - : 5010, 3075s, 950.61hPa, 21.54°C, 536.00m; 
 - : 5011, 3076s, 950.67hPa, 21.56°C, 536.00m; 
 - : 5012, 3077s, 950.65hPa, 21.55°C, 536.00m; 
 - : 5013, 3077s, 950.57hPa, 21.55°C, 536.00m; 
 - : 5014, 3078s, 950.59hPa, 21.55°C, 536.00m; 
 - : 5015, 3079s, 950.63hPa, 21.55°C, 536.00m; 
 - : 5016, 3079s, 950.63hPa, 21.55°C, 536.00m; 
 - : 5017, 3080s, 950.61hPa, 21.57°C, 536.00m; 
 - : 5018, 3080s, 950.66hPa, 21.57°C, 536.00m; 
 - : 5019, 3081s, 950.55hPa, 21.57°C, 536.00m; 
 - : 5020, 3082s, 950.61hPa, 21.58°C, 536.00m; 
 - : 5021, 3082s, 950.61hPa, 21.58°C, 536.00m; 
 - : 5022, 3083s, 950.62hPa, 21.58°C, 536.00m; 
 - : 5023, 3083s, 950.62hPa, 21.58°C, 536.00m; 
 - : 5024, 3084s, 950.61hPa, 21.60°C, 536.00m; 
 - : 5025, 3085s, 950.61hPa, 21.62°C, 536.00m; 
 - : 5026, 3085s, 950.54hPa, 21.61°C, 536.00m; 
 - : 5027, 3086s, 950.58hPa, 21.61°C, 536.00m; 
 - : 5028, 3087s, 950.61hPa, 21.62°C, 536.00m; 
 - : 5029, 3087s, 950.63hPa, 21.63°C, 536.00m; 
 - : 5030, 3088s, 950.52hPa, 21.63°C, 537.00m; 
 - : 5031, 3088s, 950.56hPa, 21.64°C, 536.00m; 
 - : 5032, 3089s, 950.60hPa, 21.65°C, 536.00m; 
 - : 5033, 3090s, 950.53hPa, 21.64°C, 536.00m; 
 - : 5034, 3090s, 950.63hPa, 21.67°C, 536.00m; 
 - : 5035, 3091s, 950.58hPa, 21.69°C, 536.00m; 
 - : 5036, 3092s, 950.60hPa, 21.69°C, 536.00m; 
 - : 5037, 3092s, 950.56hPa, 21.70°C, 536.00m; 
 - : 5038, 3093s, 950.55hPa, 21.71°C, 536.00m; 
 - : 5039, 3093s, 950.58hPa, 21.71°C, 536.00m; 
 - : 5040, 3094s, 950.58hPa, 21.73°C, 537.00m; 
 - : 5041, 3095s, 950.59hPa, 21.73°C, 536.00m; 
 - : 5042, 3095s, 950.63hPa, 21.74°C, 536.00m; 
 - : 5043, 3096s, 950.67hPa, 21.75°C, 536.00m; 
 - : 5044, 3096s, 950.66hPa, 21.76°C, 536.00m; 
 - : 5045, 3097s, 950.59hPa, 21.77°C, 536.00m; 
 - : 5046, 3098s, 950.63hPa, 21.78°C, 537.00m; 
 - : 5047, 3098s, 950.54hPa, 21.78°C, 536.00m; 
 - : 5048, 3099s, 950.59hPa, 21.80°C, 536.00m; 
 - : 5049, 3100s, 950.61hPa, 21.80°C, 536.00m; 
 - : 5050, 3100s, 950.54hPa, 21.81°C, 535.00m; 
 - : 5051, 3101s, 950.64hPa, 21.82°C, 536.00m; 
 - : 5052, 3101s, 950.61hPa, 21.84°C, 536.00m; 
 - : 5053, 3102s, 950.59hPa, 21.85°C, 536.00m; 
 - : 5054, 3103s, 950.57hPa, 21.86°C, 536.00m; 
 - : 5055, 3103s, 950.67hPa, 21.87°C, 536.00m; 
 - : 5056, 3104s, 950.59hPa, 21.87°C, 536.00m; 
 - : 5057, 3104s, 950.61hPa, 21.90°C, 536.00m; 
 - : 5058, 3105s, 950.65hPa, 21.91°C, 536.00m; 
 - : 5059, 3106s, 950.63hPa, 21.91°C, 536.00m; 
 - : 5060, 3106s, 950.58hPa, 21.92°C, 536.00m; 
 - : 5061, 3107s, 950.66hPa, 21.95°C, 536.00m; 
 - : 5062, 3107s, 950.59hPa, 21.96°C, 536.00m; 
 - : 5063, 3108s, 950.58hPa, 21.97°C, 536.00m; 
 - : 5064, 3109s, 950.62hPa, 21.98°C, 536.00m; 
 - : 5065, 3109s, 950.64hPa, 22.00°C, 536.00m; 
 - : 5066, 3110s, 950.60hPa, 22.01°C, 536.00m; 
 - : 5067, 3110s, 950.65hPa, 22.02°C, 536.00m; 
 - : 5068, 3111s, 950.68hPa, 22.03°C, 536.00m; 
 - : 5069, 3112s, 950.62hPa, 22.04°C, 536.00m; 
 - : 5070, 3112s, 950.55hPa, 22.05°C, 536.00m; 
 - : 5071, 3113s, 950.62hPa, 22.06°C, 536.00m; 
 - : 5072, 3114s, 950.62hPa, 22.08°C, 536.00m; 
 - : 5073, 3114s, 950.60hPa, 22.09°C, 536.00m; 
 - : 5074, 3115s, 950.53hPa, 22.10°C, 537.00m; 
 - : 5075, 3115s, 950.53hPa, 22.11°C, 536.00m; 
 - : 5076, 3116s, 950.51hPa, 22.12°C, 537.00m; 
 - : 5077, 3117s, 950.52hPa, 22.14°C, 537.00m; 
 - : 5078, 3117s, 950.53hPa, 22.15°C, 536.00m; 
 - : 5079, 3118s, 950.56hPa, 22.17°C, 537.00m; 
 - : 5080, 3118s, 950.49hPa, 22.16°C, 536.00m; 
 - : 5081, 3119s, 950.59hPa, 22.19°C, 536.00m; 
 - : 5082, 3120s, 950.58hPa, 22.20°C, 537.00m; 
 - : 5083, 3120s, 950.57hPa, 22.22°C, 536.00m; 
 - : 5084, 3121s, 950.56hPa, 22.23°C, 536.00m; 
 - : 5085, 3121s, 950.53hPa, 22.23°C, 536.00m; 
 - : 1, 0s, 776.79hPa, 20.03°C, 546.00m; (sol) 
 - : 2, 1s, 949.63hPa, 31.93°C, 545.00m; (sol) 
 - : 3, 2s, 949.64hPa, 31.94°C, 545.00m; (sol) 
 - : 4, 2s, 949.57hPa, 31.95°C, 546.00m; (sol) 
 - : 5, 3s, 949.59hPa, 31.96°C, 546.00m; (sol) 
 - : 6, 3s, 949.60hPa, 31.97°C, 545.00m; (sol) 
 - : 7, 4s, 949.63hPa, 31.99°C, 546.00m; (sol) 
 - : 8, 5s, 949.63hPa, 31.99°C, 545.00m; (sol) 
 - : 9, 5s, 949.63hPa, 32.01°C, 545.00m; (sol) 
 - : 10, 6s, 949.59hPa, 32.02°C, 545.00m; (sol) 
 - : 11, 6s, 949.54hPa, 32.03°C, 545.00m; (sol) 
 - : 12, 7s, 949.65hPa, 32.05°C, 545.00m; (sol) 
 - : 13, 8s, 949.55hPa, 32.05°C, 545.00m; (sol) 
 - : 14, 8s, 949.49hPa, 32.07°C, 545.00m; (sol) 
 - : 15, 9s, 949.56hPa, 32.08°C, 545.00m; (sol) 
 - : 16, 10s, 949.62hPa, 32.08°C, 545.00m; (sol) 
 - : 17, 10s, 949.57hPa, 32.11°C, 545.00m; (sol) 
 - : 18, 11s, 949.58hPa, 32.11°C, 545.00m; (sol) 
 - : 19, 11s, 949.58hPa, 32.13°C, 545.00m; (sol) 
 - : 20, 12s, 949.64hPa, 32.13°C, 545.00m; (sol) 
 - : 21, 13s, 949.55hPa, 32.15°C, 545.00m; (sol) 
 - : 22, 13s, 949.60hPa, 32.16°C, 545.00m; (sol) 
 - : 23, 14s, 949.59hPa, 32.18°C, 545.00m; (sol) 
 - : 24, 15s, 949.57hPa, 32.18°C, 545.00m; (sol) 
 - : 25, 15s, 949.56hPa, 32.20°C, 545.00m; (sol) 
 - : 26, 16s, 949.56hPa, 32.21°C, 545.00m; (sol) 
 - : 27, 16s, 949.60hPa, 32.22°C, 545.00m; (sol) 
 - : 28, 17s, 949.56hPa, 32.23°C, 544.00m; (sol) 
 - : 29, 18s, 949.59hPa, 32.24°C, 545.00m; (sol) 
 - : 30, 18s, 949.61hPa, 32.25°C, 546.00m; (sol) 
 - : 31, 19s, 949.53hPa, 32.26°C, 545.00m; (sol) 
 - : 32, 19s, 949.59hPa, 32.28°C, 545.00m; (sol) 
 - : 33, 20s, 949.62hPa, 32.29°C, 545.00m; (sol) 
 - : 34, 21s, 949.54hPa, 32.30°C, 545.00m; (sol) 
 - : 35, 21s, 949.62hPa, 32.31°C, 545.00m; (sol) 
 - : 36, 22s, 949.59hPa, 32.34°C, 545.00m; (sol) 
 - : 37, 23s, 949.59hPa, 32.34°C, 545.00m; (sol) 
 - : 38, 23s, 949.55hPa, 32.35°C, 546.00m; (sol) 
 - : 39, 24s, 949.61hPa, 32.37°C, 545.00m; (sol) 
 - : 40, 24s, 949.56hPa, 32.37°C, 545.00m; (sol) 
 - : 41, 25s, 949.60hPa, 32.38°C, 545.00m; (sol) 
 - : 42, 26s, 949.57hPa, 32.40°C, 545.00m; (sol) 
 - : 43, 26s, 949.53hPa, 32.41°C, 545.00m; (sol) 
 - : 44, 27s, 949.61hPa, 32.43°C, 545.00m; (sol) 
 - : 45, 28s, 949.61hPa, 32.43°C, 545.00m; (sol) 
 - : 46, 28s, 949.56hPa, 32.43°C, 545.00m; (sol) 
 - : 47, 29s, 949.56hPa, 32.45°C, 545.00m; (sol) 
 - : 48, 29s, 949.55hPa, 32.46°C, 545.00m; (sol) 
 - : 49, 30s, 949.63hPa, 32.48°C, 545.00m; (sol) 
 - : 50, 31s, 949.59hPa, 32.49°C, 545.00m; (sol) 
 - : 51, 31s, 949.54hPa, 32.50°C, 545.00m; (sol) 
 - : 52, 32s, 949.55hPa, 32.51°C, 546.00m; (sol) 
 - : 53, 32s, 949.56hPa, 32.51°C, 545.00m; (sol) 
 - : 54, 33s, 949.59hPa, 32.53°C, 545.00m; (sol) 
 - : 55, 34s, 949.55hPa, 32.54°C, 545.00m; (sol) 
 - : 56, 34s, 949.59hPa, 32.55°C, 546.00m; (sol) 
 - : 57, 35s, 949.66hPa, 32.56°C, 545.00m; (sol) 
 - : 58, 35s, 949.53hPa, 32.57°C, 545.00m; (sol) 
 - : 59, 36s, 949.52hPa, 32.58°C, 545.00m; (sol) 
 - : 60, 37s, 949.55hPa, 32.60°C, 545.00m; (sol) 
 - : 61, 37s, 949.56hPa, 32.61°C, 546.00m; (sol) 
 - : 62, 38s, 949.54hPa, 32.62°C, 545.00m; (sol) 
 - : 63, 38s, 949.58hPa, 32.62°C, 545.00m; (sol) 
 - : 64, 39s, 949.60hPa, 32.64°C, 546.00m; (sol) 
 - : 65, 40s, 949.61hPa, 32.66°C, 546.00m; (sol) 
 - : 66, 40s, 949.58hPa, 32.66°C, 545.00m; (sol) 
 - : 67, 41s, 949.55hPa, 32.68°C, 545.00m; (sol) 
 - : 68, 42s, 949.56hPa, 32.69°C, 545.00m; (sol) 
 - : 69, 42s, 949.52hPa, 32.70°C, 545.00m; (sol) 
 - : 70, 43s, 949.60hPa, 32.71°C, 545.00m; (sol) 
 - : 71, 43s, 949.58hPa, 32.72°C, 546.00m; (sol) 
 - : 72, 44s, 949.54hPa, 32.74°C, 546.00m; (sol) 
 - : 73, 45s, 949.56hPa, 32.75°C, 546.00m; (sol) 
 - : 74, 45s, 949.54hPa, 32.75°C, 546.00m; (sol) 
 - : 75, 46s, 949.45hPa, 32.77°C, 546.00m; (sol) 
 - : 76, 46s, 949.50hPa, 32.78°C, 546.00m; (sol) 
 - : 77, 47s, 949.50hPa, 32.80°C, 545.00m; (sol) 
 - : 78, 48s, 949.54hPa, 32.81°C, 545.00m; (sol) 
