 - : 1, 0s, 776.79hPa, 20.03°C, 547.00m; (sol) 
 - : 33, 20s, 949.99hPa, 26.93°C, 542.00m; (sol) 
 - : 34, 21s, 949.86hPa, 26.92°C, 542.00m; (sol) 
 - : 35, 21s, 949.52hPa, 26.94°C, 541.00m; (sol) 
 - : 38, 23s, 949.47hPa, 26.78°C, 545.00m; (sol) 
 - : 43, 26s, 949.43hPa, 26.84°C, 547.00m; (sol) 
 - : 44, 27s, 949.32hPa, 26.83°C, 547.00m; (sol) 
 - : 45, 27s, 949.41hPa, 26.83°C, 547.00m; (sol) 
 - : 46, 28s, 949.42hPa, 26.76°C, 547.00m; (sol) 
 - : 47, 28s, 949.40hPa, 26.70°C, 546.00m; (sol) 
 - : 48, 29s, 949.39hPa, 26.60°C, 546.00m; (sol) 
 - : 50, 30s, 949.39hPa, 26.45°C, 546.00m; (sol) 
 - : 52, 32s, 949.44hPa, 26.34°C, 546.00m; (sol) 
 - : 53, 32s, 949.44hPa, 26.29°C, 546.00m; (sol) 
 - : 55, 33s, 949.46hPa, 26.38°C, 546.00m; (sol) 
 - : 57, 35s, 949.41hPa, 26.36°C, 547.00m; (sol) 
 - : 59, 36s, 949.39hPa, 26.32°C, 546.00m; (sol) 
 - : 62, 38s, 949.50hPa, 26.23°C, 546.00m; (sol) 
 - : 63, 38s, 949.47hPa, 26.13°C, 546.00m; (sol) 
 - : 66, 40s, 949.44hPa, 26.27°C, 547.00m; (sol) 
 - : 67, 41s, 949.46hPa, 26.30°C, 547.00m; (sol) 
 - : 69, 42s, 949.42hPa, 26.32°C, 546.00m; (sol) 
 - : 70, 43s, 949.46hPa, 26.30°C, 546.00m; (sol) 
 - : 71, 43s, 949.46hPa, 26.32°C, 546.00m; (sol) 
 - : 76, 46s, 949.45hPa, 26.32°C, 546.00m; (sol) 
 - : 80, 49s, 949.31hPa, 26.34°C, 547.00m; (sol) 
 - : 82, 50s, 949.44hPa, 26.37°C, 547.00m; (sol) 
 - : 84, 51s, 949.42hPa, 26.39°C, 547.00m; (sol) 
 - : 87, 53s, 949.40hPa, 26.42°C, 547.00m; (sol) 
 - : 89, 54s, 949.46hPa, 26.46°C, 547.00m; (sol) 
 - : 90, 55s, 949.47hPa, 26.46°C, 547.00m; (sol) 
 - : 93, 57s, 949.36hPa, 26.50°C, 547.00m; (sol) 
 - : 97, 59s, 949.45hPa, 26.47°C, 547.00m; (sol) 
 - : 98, 60s, 949.36hPa, 26.50°C, 546.00m; (sol) 
 - : 103, 63s, 949.43hPa, 26.42°C, 547.00m; (sol) 
 - : 108, 66s, 949.42hPa, 26.49°C, 546.00m; (sol) 
 - : 113, 69s, 949.39hPa, 26.33°C, 547.00m; (sol) 
 - : 118, 72s, 949.44hPa, 26.29°C, 546.00m; (sol) 
 - : 132, 80s, 949.43hPa, 26.07°C, 547.00m; (sol) 
 - : 133, 81s, 949.45hPa, 26.08°C, 547.00m; (sol) 
 - : 134, 82s, 949.45hPa, 26.08°C, 546.00m; (sol) 
 - : 135, 82s, 949.48hPa, 26.10°C, 546.00m; (sol) 
 - : 136, 83s, 949.47hPa, 26.11°C, 546.00m; (sol) 
 - : 137, 84s, 949.43hPa, 26.13°C, 546.00m; (sol) 
 - : 138, 84s, 949.42hPa, 26.14°C, 547.00m; (sol) 
 - : 139, 85s, 949.37hPa, 26.14°C, 547.00m; (sol) 
 - : 140, 85s, 949.39hPa, 26.14°C, 547.00m; (sol) 
 - : 1, 0s, 776.79hPa, 20.03°C, 547.00m; (sol) 
 - : 2, 1s, 949.39hPa, 30.19°C, 547.00m; (sol) 
 - : 3, 2s, 949.35hPa, 30.18°C, 547.00m; (sol) 
 - : 4, 2s, 949.45hPa, 30.19°C, 548.00m; (sol) 
 - : 5, 3s, 949.38hPa, 30.20°C, 547.00m; (sol) 
 - : 12, 7s, 949.28hPa, 29.59°C, 548.00m; (sol) 
 - : 13, 8s, 949.24hPa, 29.60°C, 548.00m; (sol) 
 - : 14, 8s, 949.37hPa, 29.61°C, 547.00m; (sol) 
 - : 15, 9s, 949.32hPa, 29.62°C, 547.00m; (sol) 
 - : 16, 10s, 949.15hPa, 29.62°C, 549.00m; (sol) 
 - : 17, 10s, 949.28hPa, 29.63°C, 547.00m; (sol) 
 - : 18, 11s, 949.28hPa, 29.63°C, 548.00m; (sol) 
 - : 19, 11s, 949.32hPa, 29.65°C, 547.00m; (sol) 
 - : 20, 12s, 949.25hPa, 29.66°C, 547.00m; (sol) 
 - : 21, 13s, 949.25hPa, 29.67°C, 549.00m; (sol) 
 - : 22, 13s, 949.21hPa, 29.68°C, 549.00m; (sol) 
 - : 23, 14s, 949.19hPa, 29.68°C, 549.00m; (sol) 
 - : 24, 14s, 949.25hPa, 29.67°C, 549.00m; (sol) 
 - : 25, 15s, 949.13hPa, 29.64°C, 548.00m; (sol) 
 - : 26, 16s, 949.21hPa, 29.64°C, 549.00m; (sol) 
 - : 27, 16s, 949.23hPa, 29.65°C, 549.00m; (sol) 
 - : 28, 17s, 949.15hPa, 29.66°C, 548.00m; (sol) 
 - : 29, 18s, 949.26hPa, 29.65°C, 549.00m; (sol) 
 - : 30, 18s, 949.19hPa, 29.64°C, 549.00m; (sol) 
 - : 31, 19s, 949.27hPa, 29.64°C, 548.00m; (sol) 
 - : 32, 19s, 949.35hPa, 29.65°C, 548.00m; (sol) 
 - : 1, 0s, 776.79hPa, 20.03°C, 548.00m; (sol) 
 - : 1, 0s, 776.79hPa, 20.03°C, 548.00m; (sol) 
 - : 2, 1s, 949.12hPa, 29.68°C, 549.00m; (sol) 
 - : 3, 2s, 949.13hPa, 29.64°C, 548.00m; (sol) 
 - : 4, 2s, 949.33hPa, 29.66°C, 548.00m; (sol) 
 - : 5, 3s, 949.41hPa, 29.70°C, 547.00m; (sol) 
 - : 6, 3s, 949.49hPa, 29.65°C, 547.00m; (sol) 
 - : 7, 4s, 949.41hPa, 29.65°C, 546.00m; (sol) 
 - : 8, 5s, 949.38hPa, 29.66°C, 546.00m; (sol) 
 - : 9, 5s, 949.34hPa, 29.72°C, 546.00m; (sol) 
 - : 10, 6s, 949.37hPa, 29.75°C, 547.00m; (sol) 
 - : 11, 7s, 949.43hPa, 29.79°C, 546.00m; (sol) 
 - : 12, 7s, 949.39hPa, 29.82°C, 547.00m; (sol) 
 - : 13, 8s, 949.43hPa, 29.85°C, 546.00m; (sol) 
 - : 14, 8s, 949.43hPa, 29.87°C, 547.00m; (sol) 
 - : 15, 9s, 949.35hPa, 29.81°C, 547.00m; (sol) 
 - : 16, 10s, 949.25hPa, 29.80°C, 548.00m; (sol) 
 - : 17, 10s, 949.24hPa, 29.83°C, 548.00m; (sol) 
 - : 18, 11s, 949.47hPa, 29.76°C, 547.00m; (sol) 
 - : 19, 12s, 949.46hPa, 29.87°C, 547.00m; (sol) 
 - : 20, 12s, 949.41hPa, 29.97°C, 548.00m; (sol) 
 - : 21, 13s, 949.37hPa, 29.98°C, 547.00m; (sol) 
 - : 22, 13s, 949.05hPa, 29.94°C, 549.00m; (sol) 
 - : 23, 14s, 949.13hPa, 29.87°C, 550.00m; (sol) 
 - : 24, 15s, 949.38hPa, 29.87°C, 547.00m; (sol) 
 - : 25, 15s, 949.25hPa, 30.08°C, 547.00m; (sol) 
 - : 44, 27s, 951.15hPa, 30.54°C, 530.00m; 
 - : 45, 27s, 949.36hPa, 30.60°C, 547.00m; (sol) 
 - : 47, 29s, 949.30hPa, 30.44°C, 547.00m; (sol) 
 - : 48, 29s, 949.32hPa, 30.45°C, 547.00m; (sol) 
 - : 49, 30s, 949.27hPa, 30.46°C, 548.00m; (sol) 
 - : 50, 30s, 949.29hPa, 30.45°C, 548.00m; (sol) 
 - : 52, 32s, 949.33hPa, 30.44°C, 547.00m; (sol) 
 - : 53, 32s, 949.19hPa, 30.42°C, 549.00m; (sol) 
 - : 1, 0s, 776.79hPa, 20.03°C, 548.00m; (sol) 
 - : 2, 1s, 949.36hPa, 30.44°C, 547.00m; (sol) 
 - : 3, 2s, 949.28hPa, 30.45°C, 547.00m; (sol) 
 - : 4, 2s, 949.25hPa, 30.45°C, 547.00m; (sol) 
 - : 5, 3s, 949.35hPa, 30.46°C, 548.00m; (sol) 
 - : 6, 3s, 949.30hPa, 30.46°C, 548.00m; (sol) 
 - : 7, 4s, 949.31hPa, 30.47°C, 548.00m; (sol) 
 - : 8, 5s, 949.26hPa, 30.45°C, 548.00m; (sol) 
 - : 9, 5s, 949.24hPa, 30.46°C, 548.00m; (sol) 
 - : 10, 6s, 949.29hPa, 30.45°C, 548.00m; (sol) 
 - : 11, 7s, 949.26hPa, 30.45°C, 548.00m; (sol) 
 - : 12, 7s, 949.27hPa, 30.46°C, 548.00m; (sol) 
 - : 13, 8s, 949.24hPa, 30.46°C, 548.00m; (sol) 
 - : 14, 8s, 949.22hPa, 30.45°C, 548.00m; (sol) 
 - : 15, 9s, 949.23hPa, 30.45°C, 547.00m; (sol) 
 - : 16, 10s, 949.27hPa, 30.46°C, 548.00m; (sol) 
 - : 17, 10s, 949.32hPa, 30.45°C, 548.00m; (sol) 
 - : 18, 11s, 949.27hPa, 30.44°C, 548.00m; (sol) 
 - : 19, 11s, 949.33hPa, 30.42°C, 548.00m; (sol) 
 - : 20, 12s, 949.24hPa, 30.42°C, 548.00m; (sol) 
 - : 21, 13s, 948.98hPa, 30.40°C, 551.00m; (sol) 
 - : 22, 13s, 948.87hPa, 30.37°C, 551.00m; (sol) 
 - : 1, 0s, 776.79hPa, 20.03°C, 549.00m; (sol) 
 - : 2, 1s, 949.20hPa, 28.15°C, 549.00m; (sol) 
 - : 3, 2s, 949.37hPa, 28.17°C, 547.00m; (sol) 
 - : 4, 2s, 949.26hPa, 28.16°C, 548.00m; (sol) 
 - : 5, 3s, 949.31hPa, 28.17°C, 548.00m; (sol) 
 - : 6, 3s, 949.25hPa, 28.17°C, 548.00m; (sol) 
 - : 7, 4s, 949.25hPa, 28.17°C, 548.00m; (sol) 
 - : 8, 5s, 949.35hPa, 28.18°C, 549.00m; (sol) 
 - : 9, 5s, 949.35hPa, 28.18°C, 547.00m; (sol) 
 - : 10, 6s, 949.32hPa, 28.18°C, 548.00m; (sol) 
 - : 11, 7s, 949.36hPa, 28.19°C, 547.00m; (sol) 
 - : 12, 7s, 949.29hPa, 28.20°C, 547.00m; (sol) 
 - : 13, 8s, 949.30hPa, 28.19°C, 547.00m; (sol) 
 - : 14, 8s, 949.38hPa, 28.16°C, 547.00m; (sol) 
 - : 15, 9s, 949.32hPa, 28.16°C, 548.00m; (sol) 
 - : 16, 10s, 949.39hPa, 28.15°C, 547.00m; (sol) 
 - : 17, 10s, 949.34hPa, 28.15°C, 547.00m; (sol) 
 - : 18, 11s, 949.34hPa, 28.15°C, 547.00m; (sol) 
 - : 19, 11s, 949.32hPa, 28.16°C, 547.00m; (sol) 
 - : 20, 12s, 949.37hPa, 28.15°C, 548.00m; (sol) 
 - : 21, 13s, 949.23hPa, 28.16°C, 547.00m; (sol) 
 - : 22, 13s, 949.41hPa, 28.16°C, 547.00m; (sol) 
 - : 23, 14s, 949.39hPa, 28.17°C, 547.00m; (sol) 
 - : 24, 15s, 949.25hPa, 28.17°C, 548.00m; (sol) 
 - : 25, 15s, 949.30hPa, 28.17°C, 547.00m; (sol) 
 - : 26, 16s, 949.29hPa, 28.16°C, 549.00m; (sol) 
 - : 27, 16s, 949.30hPa, 28.16°C, 548.00m; (sol) 
 - : 28, 17s, 949.33hPa, 28.17°C, 548.00m; (sol) 
 - : 29, 18s, 949.12hPa, 28.16°C, 549.00m; (sol) 
 - : 13, 8s, 949.18hPa, 27.87°C, 549.00m; (sol) 
 - : 14, 8s, 949.16hPa, 27.88°C, 549.00m; (sol) 
 - : 15, 9s, 949.16hPa, 27.88°C, 548.00m; (sol) 
 - : 16, 10s, 949.12hPa, 27.87°C, 548.00m; (sol) 
 - : 17, 10s, 949.12hPa, 27.87°C, 549.00m; (sol) 
 - : 18, 11s, 949.14hPa, 27.87°C, 548.00m; (sol) 
 - : 239, 146s, 949.09hPa, 28.20°C, 549.00m; (sol) 
 - : 240, 147s, 949.11hPa, 28.20°C, 549.00m; (sol) 
 - : 241, 148s, 949.19hPa, 28.21°C, 549.00m; (sol) 
 - : 242, 148s, 949.18hPa, 28.20°C, 549.00m; (sol) 
 - : 243, 149s, 949.14hPa, 28.21°C, 549.00m; (sol) 
 - : 415, 254s, 949.13hPa, 28.32°C, 549.00m; (sol) 
 - : 416, 255s, 949.14hPa, 28.33°C, 549.00m; (sol) 
 - : 417, 255s, 949.11hPa, 28.33°C, 549.00m; (sol) 
 - : 418, 256s, 949.12hPa, 28.34°C, 550.00m; (sol) 
 - : 419, 257s, 949.17hPa, 28.33°C, 549.00m; (sol) 
 - : 420, 257s, 949.10hPa, 28.32°C, 550.00m; (sol) 
 - : 421, 258s, 949.08hPa, 28.33°C, 550.00m; (sol) 
 - : 422, 258s, 949.10hPa, 28.32°C, 549.00m; (sol) 
 - : 423, 259s, 949.04hPa, 28.32°C, 549.00m; (sol) 
 - : 424, 260s, 949.11hPa, 28.33°C, 550.00m; (sol) 
 - : 425, 260s, 949.11hPa, 28.33°C, 550.00m; (sol) 
 - : 426, 261s, 949.08hPa, 28.33°C, 550.00m; (sol) 
 - : 427, 262s, 949.06hPa, 28.33°C, 549.00m; (sol) 
 - : 428, 262s, 949.06hPa, 28.33°C, 549.00m; (sol) 
 - : 429, 263s, 949.07hPa, 28.32°C, 550.00m; (sol) 
 - : 430, 263s, 949.13hPa, 28.32°C, 549.00m; (sol) 
 - : 431, 264s, 949.07hPa, 28.32°C, 549.00m; (sol) 
 - : 432, 265s, 949.11hPa, 28.33°C, 549.00m; (sol) 
 - : 433, 265s, 949.12hPa, 28.34°C, 549.00m; (sol) 
 - : 434, 266s, 949.11hPa, 28.33°C, 549.00m; (sol) 
 - : 435, 266s, 949.16hPa, 28.34°C, 549.00m; (sol) 
 - : 436, 267s, 949.10hPa, 28.34°C, 550.00m; (sol) 
 - : 437, 268s, 949.06hPa, 28.34°C, 549.00m; (sol) 
 - : 438, 268s, 949.16hPa, 28.34°C, 549.00m; (sol) 
 - : 439, 269s, 949.16hPa, 28.35°C, 549.00m; (sol) 
 - : 440, 269s, 949.11hPa, 28.35°C, 549.00m; (sol) 
 - : 441, 270s, 949.14hPa, 28.35°C, 550.00m; (sol) 
 - : 442, 271s, 949.11hPa, 28.35°C, 549.00m; (sol) 
 - : 443, 271s, 949.11hPa, 28.35°C, 549.00m; (sol) 
 - : 444, 272s, 949.14hPa, 28.35°C, 549.00m; (sol) 
 - : 445, 273s, 949.12hPa, 28.36°C, 549.00m; (sol) 
 - : 446, 273s, 949.13hPa, 28.36°C, 549.00m; (sol) 
 - : 447, 274s, 949.13hPa, 28.36°C, 550.00m; (sol) 
 - : 448, 274s, 949.11hPa, 28.36°C, 549.00m; (sol) 
 - : 449, 275s, 949.14hPa, 28.37°C, 549.00m; (sol) 
 - : 450, 276s, 949.17hPa, 28.37°C, 550.00m; (sol) 
 - : 451, 276s, 949.11hPa, 28.37°C, 549.00m; (sol) 
 - : 452, 277s, 949.15hPa, 28.36°C, 549.00m; (sol) 
 - : 453, 277s, 949.10hPa, 28.36°C, 549.00m; (sol) 
 - : 454, 278s, 949.10hPa, 28.36°C, 549.00m; (sol) 
 - : 455, 279s, 949.07hPa, 28.36°C, 550.00m; (sol) 
 - : 456, 279s, 949.13hPa, 28.38°C, 549.00m; (sol) 
 - : 457, 280s, 949.09hPa, 28.37°C, 549.00m; (sol) 
 - : 458, 281s, 949.07hPa, 28.38°C, 549.00m; (sol) 
 - : 459, 281s, 949.13hPa, 28.38°C, 550.00m; (sol) 
 - : 460, 282s, 949.13hPa, 28.38°C, 550.00m; (sol) 
 - : 461, 282s, 949.08hPa, 28.39°C, 550.00m; (sol) 
 - : 462, 283s, 949.10hPa, 28.38°C, 549.00m; (sol) 
 - : 463, 284s, 949.11hPa, 28.39°C, 549.00m; (sol) 
 - : 464, 284s, 949.16hPa, 28.38°C, 549.00m; (sol) 
 - : 465, 285s, 949.11hPa, 28.39°C, 549.00m; (sol) 
 - : 466, 285s, 949.15hPa, 28.39°C, 550.00m; (sol) 
 - : 467, 286s, 949.15hPa, 28.40°C, 549.00m; (sol) 
 - : 468, 287s, 949.13hPa, 28.40°C, 549.00m; (sol) 
 - : 469, 287s, 949.13hPa, 28.40°C, 549.00m; (sol) 
 - : 470, 288s, 949.08hPa, 28.40°C, 549.00m; (sol) 
 - : 471, 289s, 949.13hPa, 28.40°C, 549.00m; (sol) 
 - : 472, 289s, 949.10hPa, 28.40°C, 549.00m; (sol) 
 - : 473, 290s, 949.08hPa, 28.41°C, 549.00m; (sol) 
 - : 474, 290s, 949.10hPa, 28.40°C, 550.00m; (sol) 
 - : 475, 291s, 949.08hPa, 28.41°C, 549.00m; (sol) 
 - : 476, 292s, 949.15hPa, 28.41°C, 549.00m; (sol) 
 - : 477, 292s, 949.13hPa, 28.42°C, 549.00m; (sol) 
 - : 478, 293s, 949.13hPa, 28.42°C, 550.00m; (sol) 
 - : 479, 294s, 949.11hPa, 28.41°C, 549.00m; (sol) 
 - : 480, 294s, 949.13hPa, 28.42°C, 549.00m; (sol) 
 - : 481, 295s, 949.13hPa, 28.42°C, 549.00m; (sol) 
 - : 482, 295s, 949.11hPa, 28.43°C, 549.00m; (sol) 
 - : 483, 296s, 949.10hPa, 28.42°C, 549.00m; (sol) 
 - : 484, 297s, 949.15hPa, 28.43°C, 549.00m; (sol) 
 - : 485, 297s, 949.10hPa, 28.42°C, 549.00m; (sol) 
 - : 486, 298s, 949.14hPa, 28.43°C, 549.00m; (sol) 
 - : 487, 298s, 949.15hPa, 28.43°C, 549.00m; (sol) 
 - : 488, 299s, 949.15hPa, 28.43°C, 549.00m; (sol) 
 - : 489, 300s, 949.15hPa, 28.43°C, 549.00m; (sol) 
 - : 490, 300s, 949.16hPa, 28.44°C, 549.00m; (sol) 
 - : 491, 301s, 949.16hPa, 28.44°C, 549.00m; (sol) 
 - : 492, 301s, 949.20hPa, 28.45°C, 549.00m; (sol) 
 - : 493, 302s, 949.13hPa, 28.46°C, 549.00m; (sol) 
 - : 494, 303s, 949.17hPa, 28.45°C, 549.00m; (sol) 
 - : 495, 303s, 949.18hPa, 28.45°C, 549.00m; (sol) 
 - : 496, 304s, 949.17hPa, 28.46°C, 549.00m; (sol) 
 - : 497, 304s, 949.12hPa, 28.45°C, 549.00m; (sol) 
 - : 498, 305s, 949.14hPa, 28.46°C, 549.00m; (sol) 
 - : 499, 306s, 949.15hPa, 28.47°C, 549.00m; (sol) 
 - : 500, 306s, 949.15hPa, 28.47°C, 550.00m; (sol) 
 - : 501, 307s, 949.09hPa, 28.47°C, 549.00m; (sol) 
 - : 502, 308s, 949.18hPa, 28.47°C, 549.00m; (sol) 
 - : 503, 308s, 949.10hPa, 28.48°C, 549.00m; (sol) 
 - : 504, 309s, 949.13hPa, 28.48°C, 549.00m; (sol) 
 - : 505, 309s, 949.16hPa, 28.48°C, 549.00m; (sol) 
 - : 506, 310s, 949.05hPa, 28.48°C, 549.00m; (sol) 
 - : 507, 311s, 949.18hPa, 28.49°C, 549.00m; (sol) 
 - : 508, 311s, 949.14hPa, 28.48°C, 549.00m; (sol) 
 - : 509, 312s, 949.11hPa, 28.48°C, 549.00m; (sol) 
 - : 510, 312s, 949.02hPa, 28.48°C, 549.00m; (sol) 
 - : 511, 313s, 949.06hPa, 28.49°C, 549.00m; (sol) 
 - : 512, 314s, 949.07hPa, 28.50°C, 549.00m; (sol) 
 - : 513, 314s, 949.06hPa, 28.49°C, 549.00m; (sol) 
 - : 514, 315s, 949.13hPa, 28.50°C, 550.00m; (sol) 
 - : 515, 315s, 949.14hPa, 28.51°C, 549.00m; (sol) 
 - : 516, 316s, 949.19hPa, 28.50°C, 549.00m; (sol) 
 - : 517, 317s, 949.14hPa, 28.50°C, 550.00m; (sol) 
 - : 518, 317s, 949.16hPa, 28.50°C, 549.00m; (sol) 
 - : 519, 318s, 949.14hPa, 28.50°C, 550.00m; (sol) 
 - : 520, 319s, 949.06hPa, 28.51°C, 550.00m; (sol) 
 - : 521, 319s, 949.05hPa, 28.50°C, 549.00m; (sol) 
 - : 522, 320s, 949.10hPa, 28.51°C, 550.00m; (sol) 
 - : 523, 320s, 949.12hPa, 28.51°C, 549.00m; (sol) 
 - : 524, 321s, 949.13hPa, 28.51°C, 550.00m; (sol) 
 - : 525, 322s, 949.17hPa, 28.51°C, 550.00m; (sol) 
 - : 526, 322s, 949.13hPa, 28.51°C, 549.00m; (sol) 
 - : 527, 323s, 949.06hPa, 28.51°C, 550.00m; (sol) 
 - : 528, 323s, 948.96hPa, 28.50°C, 549.00m; (sol) 
 - : 529, 324s, 949.08hPa, 28.50°C, 549.00m; (sol) 
 - : 530, 325s, 949.05hPa, 28.50°C, 549.00m; (sol) 
 - : 531, 325s, 949.08hPa, 28.51°C, 550.00m; (sol) 
 - : 532, 326s, 949.21hPa, 28.51°C, 549.00m; (sol) 
 - : 533, 327s, 949.04hPa, 28.51°C, 550.00m; (sol) 
 - : 534, 327s, 949.01hPa, 28.51°C, 549.00m; (sol) 
 - : 535, 328s, 949.18hPa, 28.51°C, 550.00m; (sol) 
 - : 536, 328s, 949.08hPa, 28.51°C, 549.00m; (sol) 
 - : 537, 329s, 949.06hPa, 28.51°C, 550.00m; (sol) 
 - : 538, 330s, 949.08hPa, 28.50°C, 549.00m; (sol) 
 - : 539, 330s, 949.14hPa, 28.51°C, 550.00m; (sol) 
 - : 540, 331s, 949.05hPa, 28.50°C, 550.00m; (sol) 
 - : 541, 332s, 949.16hPa, 28.50°C, 549.00m; (sol) 
 - : 542, 332s, 949.20hPa, 28.51°C, 549.00m; (sol) 
 - : 543, 333s, 949.14hPa, 28.50°C, 549.00m; (sol) 
 - : 544, 333s, 949.16hPa, 28.50°C, 550.00m; (sol) 
 - : 545, 334s, 949.14hPa, 28.50°C, 549.00m; (sol) 
 - : 546, 335s, 949.14hPa, 28.51°C, 549.00m; (sol) 
 - : 547, 335s, 949.17hPa, 28.51°C, 549.00m; (sol) 
 - : 548, 336s, 949.06hPa, 28.51°C, 549.00m; (sol) 
 - : 549, 336s, 949.03hPa, 28.51°C, 549.00m; (sol) 
 - : 550, 337s, 949.08hPa, 28.51°C, 550.00m; (sol) 
 - : 551, 338s, 949.11hPa, 28.51°C, 549.00m; (sol) 
 - : 552, 338s, 948.99hPa, 28.50°C, 549.00m; (sol) 
 - : 553, 339s, 949.13hPa, 28.51°C, 550.00m; (sol) 
 - : 554, 340s, 949.06hPa, 28.51°C, 550.00m; (sol) 
 - : 555, 340s, 949.05hPa, 28.50°C, 550.00m; (sol) 
 - : 556, 341s, 949.06hPa, 28.51°C, 550.00m; (sol) 
 - : 557, 341s, 949.04hPa, 28.51°C, 550.00m; (sol) 
 - : 558, 342s, 949.03hPa, 28.51°C, 550.00m; (sol) 
 - : 559, 343s, 949.09hPa, 28.51°C, 549.00m; (sol) 
 - : 560, 343s, 949.06hPa, 28.51°C, 550.00m; (sol) 
 - : 561, 344s, 949.08hPa, 28.52°C, 550.00m; (sol) 
 - : 562, 344s, 949.06hPa, 28.51°C, 550.00m; (sol) 
 - : 563, 345s, 949.05hPa, 28.52°C, 549.00m; (sol) 
 - : 564, 346s, 949.07hPa, 28.51°C, 550.00m; (sol) 
 - : 565, 346s, 949.08hPa, 28.52°C, 550.00m; (sol) 
 - : 566, 347s, 949.08hPa, 28.52°C, 550.00m; (sol) 
 - : 567, 347s, 949.11hPa, 28.52°C, 549.00m; (sol) 
 - : 568, 348s, 949.06hPa, 28.53°C, 550.00m; (sol) 
 - : 569, 349s, 949.21hPa, 28.53°C, 549.00m; (sol) 
 - : 570, 349s, 949.08hPa, 28.52°C, 550.00m; (sol) 
 - : 571, 350s, 949.08hPa, 28.52°C, 550.00m; (sol) 
 - : 572, 351s, 949.05hPa, 28.52°C, 550.00m; (sol) 
 - : 573, 351s, 949.09hPa, 28.53°C, 549.00m; (sol) 
 - : 574, 352s, 949.11hPa, 28.52°C, 550.00m; (sol) 
 - : 575, 352s, 949.06hPa, 28.53°C, 550.00m; (sol) 
 - : 576, 353s, 949.08hPa, 28.52°C, 550.00m; (sol) 
 - : 577, 354s, 949.07hPa, 28.53°C, 549.00m; (sol) 
 - : 578, 354s, 949.10hPa, 28.53°C, 550.00m; (sol) 
 - : 579, 355s, 949.06hPa, 28.53°C, 550.00m; (sol) 
 - : 580, 355s, 949.05hPa, 28.52°C, 550.00m; (sol) 
 - : 581, 356s, 949.08hPa, 28.52°C, 550.00m; (sol) 
 - : 582, 357s, 949.07hPa, 28.53°C, 550.00m; (sol) 
 - : 583, 357s, 949.09hPa, 28.53°C, 549.00m; (sol) 
 - : 584, 358s, 949.08hPa, 28.52°C, 550.00m; (sol) 
 - : 585, 358s, 949.16hPa, 28.52°C, 550.00m; (sol) 
 - : 586, 359s, 949.16hPa, 28.52°C, 550.00m; (sol) 
 - : 587, 360s, 949.19hPa, 28.52°C, 550.00m; (sol) 
 - : 588, 360s, 949.01hPa, 28.51°C, 549.00m; (sol) 
 - : 589, 361s, 949.11hPa, 28.52°C, 550.00m; (sol) 
 - : 590, 362s, 949.05hPa, 28.52°C, 550.00m; (sol) 
 - : 591, 362s, 949.11hPa, 28.52°C, 550.00m; (sol) 
 - : 592, 363s, 949.07hPa, 28.51°C, 550.00m; (sol) 
 - : 593, 363s, 949.05hPa, 28.52°C, 550.00m; (sol) 
 - : 594, 364s, 949.08hPa, 28.52°C, 551.00m; (sol) 
