 - : 1, 0s, 949.59hPa, 26.99°C, 545.00m; (sol) 
 - : 39, 24s, 949.48hPa, 26.32°C, 546.00m; (sol) 
 - : 40, 24s, 949.48hPa, 26.32°C, 546.00m; (sol) 
 - : 41, 25s, 949.56hPa, 26.31°C, 545.00m; (sol) 
 - : 42, 25s, 949.56hPa, 26.31°C, 545.00m; (sol) 
 - : 43, 26s, 949.48hPa, 26.32°C, 546.00m; (sol) 
 - : 44, 27s, 949.48hPa, 26.32°C, 546.00m; (sol) 
 - : 45, 27s, 949.52hPa, 26.32°C, 546.00m; (sol) 
 - : 46, 28s, 949.48hPa, 26.33°C, 546.00m; (sol) 
 - : 47, 28s, 949.58hPa, 26.32°C, 546.00m; (sol) 
 - : 48, 29s, 949.47hPa, 26.33°C, 546.00m; (sol) 
 - : 49, 30s, 949.48hPa, 26.33°C, 545.00m; (sol) 
 - : 50, 30s, 949.54hPa, 26.34°C, 546.00m; (sol) 
 - : 51, 31s, 949.45hPa, 26.33°C, 545.00m; (sol) 
 - : 52, 32s, 949.49hPa, 26.34°C, 546.00m; (sol) 
 - : 53, 32s, 949.52hPa, 26.34°C, 546.00m; (sol) 
 - : 54, 33s, 949.52hPa, 26.34°C, 546.00m; (sol) 
 - : 55, 33s, 949.57hPa, 26.36°C, 546.00m; (sol) 
 - : 56, 34s, 949.53hPa, 26.37°C, 546.00m; (sol) 
 - : 57, 35s, 949.49hPa, 26.36°C, 546.00m; (sol) 
 - : 58, 35s, 949.43hPa, 26.38°C, 546.00m; (sol) 
 - : 59, 36s, 949.51hPa, 26.35°C, 546.00m; (sol) 
 - : 60, 36s, 949.49hPa, 26.36°C, 546.00m; (sol) 
 - : 61, 37s, 949.51hPa, 26.37°C, 546.00m; (sol) 
 - : 62, 38s, 949.49hPa, 26.38°C, 547.00m; (sol) 
 - : 63, 38s, 949.53hPa, 26.39°C, 546.00m; (sol) 
 - : 64, 39s, 949.53hPa, 26.39°C, 546.00m; (sol) 
 - : 65, 40s, 949.52hPa, 26.40°C, 546.00m; (sol) 
 - : 66, 40s, 949.51hPa, 26.40°C, 546.00m; (sol) 
 - : 67, 41s, 949.53hPa, 26.41°C, 546.00m; (sol) 
 - : 68, 41s, 949.44hPa, 26.40°C, 546.00m; (sol) 
 - : 69, 42s, 949.45hPa, 26.41°C, 546.00m; (sol) 
 - : 70, 43s, 949.51hPa, 26.41°C, 546.00m; (sol) 
 - : 71, 43s, 949.51hPa, 26.41°C, 546.00m; (sol) 
 - : 72, 44s, 949.49hPa, 26.40°C, 546.00m; (sol) 
 - : 73, 45s, 949.53hPa, 26.41°C, 546.00m; (sol) 
 - : 74, 45s, 949.51hPa, 26.39°C, 546.00m; (sol) 
 - : 75, 46s, 949.50hPa, 26.39°C, 546.00m; (sol) 
 - : 76, 46s, 949.52hPa, 26.38°C, 546.00m; (sol) 
 - : 77, 47s, 949.50hPa, 26.41°C, 546.00m; (sol) 
 - : 78, 48s, 949.46hPa, 26.42°C, 546.00m; (sol) 
 - : 79, 48s, 949.53hPa, 26.42°C, 546.00m; (sol) 
 - : 80, 49s, 949.42hPa, 26.43°C, 546.00m; (sol) 
 - : 81, 49s, 949.49hPa, 26.44°C, 546.00m; (sol) 
 - : 82, 50s, 949.53hPa, 26.45°C, 546.00m; (sol) 
 - : 83, 51s, 949.56hPa, 26.45°C, 546.00m; (sol) 
 - : 84, 51s, 949.52hPa, 26.44°C, 546.00m; (sol) 
 - : 85, 52s, 949.58hPa, 26.44°C, 545.00m; (sol) 
 - : 86, 52s, 949.49hPa, 26.42°C, 546.00m; (sol) 
 - : 87, 53s, 949.55hPa, 26.44°C, 546.00m; (sol) 
 - : 88, 54s, 949.50hPa, 26.45°C, 546.00m; (sol) 
 - : 89, 54s, 949.55hPa, 26.44°C, 545.00m; (sol) 
 - : 90, 55s, 949.53hPa, 26.42°C, 545.00m; (sol) 
 - : 91, 55s, 949.51hPa, 26.41°C, 546.00m; (sol) 
 - : 92, 56s, 949.56hPa, 26.43°C, 545.00m; (sol) 
 - : 93, 57s, 949.55hPa, 26.42°C, 546.00m; (sol) 
 - : 94, 57s, 949.53hPa, 26.42°C, 546.00m; (sol) 
 - : 95, 58s, 949.52hPa, 26.42°C, 545.00m; (sol) 
 - : 96, 59s, 949.50hPa, 26.41°C, 546.00m; (sol) 
 - : 97, 59s, 949.54hPa, 26.40°C, 546.00m; (sol) 
 - : 98, 60s, 949.53hPa, 26.40°C, 546.00m; (sol) 
 - : 99, 60s, 949.48hPa, 26.40°C, 546.00m; (sol) 
 - : 100, 61s, 949.53hPa, 26.39°C, 546.00m; (sol) 
 - : 101, 62s, 949.45hPa, 26.39°C, 546.00m; (sol) 
 - : 102, 62s, 949.46hPa, 26.38°C, 546.00m; (sol) 
 - : 103, 63s, 949.45hPa, 26.37°C, 546.00m; (sol) 
 - : 104, 63s, 949.49hPa, 26.38°C, 546.00m; (sol) 
 - : 105, 64s, 949.48hPa, 26.39°C, 546.00m; (sol) 
 - : 106, 65s, 949.48hPa, 26.40°C, 546.00m; (sol) 
 - : 107, 65s, 949.45hPa, 26.39°C, 546.00m; (sol) 
 - : 108, 66s, 949.50hPa, 26.39°C, 546.00m; (sol) 
 - : 109, 66s, 949.46hPa, 26.38°C, 546.00m; (sol) 
 - : 110, 67s, 949.52hPa, 26.38°C, 546.00m; (sol) 
 - : 111, 68s, 949.53hPa, 26.39°C, 546.00m; (sol) 
 - : 112, 68s, 949.53hPa, 26.39°C, 546.00m; (sol) 
 - : 113, 69s, 949.59hPa, 26.39°C, 546.00m; (sol) 
 - : 114, 69s, 949.60hPa, 26.40°C, 546.00m; (sol) 
 - : 115, 70s, 949.54hPa, 26.38°C, 546.00m; (sol) 
 - : 116, 71s, 949.55hPa, 26.38°C, 546.00m; (sol) 
 - : 117, 71s, 949.58hPa, 26.39°C, 546.00m; (sol) 
 - : 118, 72s, 949.52hPa, 26.38°C, 546.00m; (sol) 
 - : 119, 73s, 949.58hPa, 26.39°C, 546.00m; (sol) 
 - : 120, 73s, 949.55hPa, 26.38°C, 545.00m; (sol) 
 - : 121, 74s, 949.53hPa, 26.39°C, 546.00m; (sol) 
 - : 122, 74s, 949.54hPa, 26.40°C, 545.00m; (sol) 
 - : 123, 75s, 949.54hPa, 26.40°C, 546.00m; (sol) 
 - : 124, 76s, 949.58hPa, 26.39°C, 545.00m; (sol) 
 - : 125, 76s, 949.56hPa, 26.39°C, 546.00m; (sol) 
 - : 126, 77s, 949.53hPa, 26.40°C, 545.00m; (sol) 
 - : 127, 77s, 949.55hPa, 26.40°C, 546.00m; (sol) 
 - : 128, 78s, 949.56hPa, 26.41°C, 545.00m; (sol) 
 - : 129, 79s, 949.58hPa, 26.42°C, 545.00m; (sol) 
 - : 130, 79s, 949.51hPa, 26.40°C, 545.00m; (sol) 
 - : 131, 80s, 949.52hPa, 26.40°C, 546.00m; (sol) 
 - : 132, 81s, 949.50hPa, 26.40°C, 546.00m; (sol) 
 - : 133, 81s, 949.55hPa, 26.40°C, 545.00m; (sol) 
 - : 134, 82s, 949.56hPa, 26.39°C, 546.00m; (sol) 
 - : 135, 82s, 949.51hPa, 26.40°C, 546.00m; (sol) 
 - : 136, 83s, 949.50hPa, 26.40°C, 545.00m; (sol) 
 - : 137, 84s, 949.55hPa, 26.40°C, 545.00m; (sol) 
 - : 138, 84s, 949.56hPa, 26.41°C, 545.00m; (sol) 
 - : 139, 85s, 949.53hPa, 26.43°C, 546.00m; (sol) 
 - : 140, 85s, 949.53hPa, 26.42°C, 546.00m; (sol) 
 - : 141, 86s, 949.49hPa, 26.44°C, 545.00m; (sol) 
 - : 142, 87s, 949.56hPa, 26.45°C, 545.00m; (sol) 
 - : 143, 87s, 949.53hPa, 26.45°C, 546.00m; (sol) 
 - : 144, 88s, 949.51hPa, 26.45°C, 546.00m; (sol) 
 - : 145, 89s, 949.49hPa, 26.46°C, 545.00m; (sol) 
 - : 146, 89s, 949.60hPa, 26.46°C, 545.00m; (sol) 
 - : 147, 90s, 949.50hPa, 26.45°C, 545.00m; (sol) 
 - : 148, 90s, 949.63hPa, 26.46°C, 545.00m; (sol) 
 - : 149, 91s, 949.57hPa, 26.46°C, 545.00m; (sol) 
 - : 150, 92s, 949.59hPa, 26.47°C, 546.00m; (sol) 
 - : 151, 92s, 949.47hPa, 26.47°C, 545.00m; (sol) 
 - : 152, 93s, 949.52hPa, 26.47°C, 545.00m; (sol) 
 - : 153, 94s, 949.52hPa, 26.47°C, 546.00m; (sol) 
 - : 154, 94s, 949.52hPa, 26.47°C, 546.00m; (sol) 
 - : 155, 95s, 949.62hPa, 26.49°C, 545.00m; (sol) 
 - : 156, 95s, 949.50hPa, 26.48°C, 546.00m; (sol) 
 - : 157, 96s, 949.52hPa, 26.48°C, 546.00m; (sol) 
 - : 158, 97s, 949.53hPa, 26.48°C, 545.00m; (sol) 
 - : 159, 97s, 949.59hPa, 26.48°C, 545.00m; (sol) 
 - : 160, 98s, 949.53hPa, 26.48°C, 546.00m; (sol) 
 - : 161, 98s, 949.59hPa, 26.48°C, 545.00m; (sol) 
 - : 162, 99s, 949.60hPa, 26.49°C, 545.00m; (sol) 
 - : 163, 100s, 949.47hPa, 26.48°C, 546.00m; (sol) 
 - : 164, 100s, 949.56hPa, 26.48°C, 546.00m; (sol) 
 - : 165, 101s, 949.59hPa, 26.48°C, 545.00m; (sol) 
 - : 166, 101s, 949.56hPa, 26.48°C, 545.00m; (sol) 
 - : 167, 102s, 949.59hPa, 26.48°C, 546.00m; (sol) 
 - : 168, 103s, 949.52hPa, 26.49°C, 545.00m; (sol) 
 - : 169, 103s, 949.51hPa, 26.49°C, 546.00m; (sol) 
 - : 170, 104s, 949.56hPa, 26.48°C, 545.00m; (sol) 
 - : 171, 104s, 949.44hPa, 26.48°C, 546.00m; (sol) 
 - : 172, 105s, 949.51hPa, 26.49°C, 546.00m; (sol) 
 - : 173, 106s, 949.42hPa, 26.48°C, 546.00m; (sol) 
 - : 174, 106s, 949.49hPa, 26.47°C, 546.00m; (sol) 
 - : 175, 107s, 949.46hPa, 26.46°C, 546.00m; (sol) 
 - : 176, 107s, 949.38hPa, 26.44°C, 546.00m; (sol) 
 - : 177, 108s, 949.43hPa, 26.44°C, 546.00m; (sol) 
 - : 178, 109s, 949.48hPa, 26.41°C, 546.00m; (sol) 
 - : 179, 109s, 949.52hPa, 26.40°C, 545.00m; (sol) 
 - : 180, 110s, 949.46hPa, 26.38°C, 546.00m; (sol) 
 - : 181, 110s, 949.52hPa, 26.38°C, 546.00m; (sol) 
 - : 182, 111s, 949.51hPa, 26.37°C, 546.00m; (sol) 
 - : 183, 112s, 949.47hPa, 26.35°C, 546.00m; (sol) 
 - : 184, 112s, 949.54hPa, 26.33°C, 546.00m; (sol) 
 - : 185, 113s, 949.45hPa, 26.33°C, 546.00m; (sol) 
 - : 186, 114s, 949.49hPa, 26.34°C, 546.00m; (sol) 
 - : 187, 114s, 949.54hPa, 26.35°C, 546.00m; (sol) 
 - : 188, 115s, 949.51hPa, 26.36°C, 546.00m; (sol) 
 - : 189, 115s, 949.52hPa, 26.36°C, 546.00m; (sol) 
 - : 190, 116s, 949.50hPa, 26.37°C, 546.00m; (sol) 
 - : 191, 117s, 949.55hPa, 26.36°C, 546.00m; (sol) 
 - : 192, 117s, 949.49hPa, 26.36°C, 546.00m; (sol) 
 - : 193, 118s, 949.44hPa, 26.35°C, 546.00m; (sol) 
 - : 194, 118s, 949.54hPa, 26.35°C, 546.00m; (sol) 
 - : 195, 119s, 949.52hPa, 26.34°C, 546.00m; (sol) 
 - : 196, 120s, 949.52hPa, 26.34°C, 546.00m; (sol) 
 - : 197, 120s, 949.49hPa, 26.36°C, 546.00m; (sol) 
 - : 198, 121s, 949.60hPa, 26.34°C, 544.00m; (sol) 
 - : 199, 122s, 949.59hPa, 26.33°C, 545.00m; (sol) 
 - : 200, 122s, 949.55hPa, 26.34°C, 545.00m; (sol) 
 - : 201, 123s, 949.64hPa, 26.36°C, 544.00m; (sol) 
 - : 202, 123s, 949.66hPa, 26.36°C, 545.00m; (sol) 
 - : 203, 124s, 949.64hPa, 26.35°C, 546.00m; (sol) 
 - : 204, 125s, 949.62hPa, 26.35°C, 546.00m; (sol) 
 - : 205, 125s, 949.56hPa, 26.35°C, 545.00m; (sol) 
 - : 206, 126s, 949.55hPa, 26.34°C, 545.00m; (sol) 
 - : 207, 126s, 949.48hPa, 26.33°C, 545.00m; (sol) 
 - : 208, 127s, 949.54hPa, 26.33°C, 546.00m; (sol) 
 - : 209, 128s, 949.52hPa, 26.34°C, 547.00m; (sol) 
 - : 210, 128s, 949.62hPa, 26.35°C, 544.00m; (sol) 
 - : 211, 129s, 949.52hPa, 26.36°C, 546.00m; (sol) 
 - : 212, 130s, 949.39hPa, 26.33°C, 547.00m; (sol) 
 - : 213, 130s, 949.54hPa, 26.34°C, 544.00m; (sol) 
 - : 214, 131s, 949.55hPa, 26.34°C, 545.00m; (sol) 
 - : 215, 131s, 949.50hPa, 26.35°C, 545.00m; (sol) 
 - : 216, 132s, 949.49hPa, 26.36°C, 546.00m; (sol) 
 - : 217, 133s, 949.56hPa, 26.37°C, 545.00m; (sol) 
 - : 218, 133s, 949.56hPa, 26.37°C, 545.00m; (sol) 
 - : 219, 134s, 949.62hPa, 26.39°C, 545.00m; (sol) 
 - : 220, 134s, 949.61hPa, 26.40°C, 545.00m; (sol) 
 - : 221, 135s, 949.68hPa, 26.40°C, 545.00m; (sol) 
 - : 222, 136s, 949.58hPa, 26.40°C, 545.00m; (sol) 
 - : 223, 136s, 949.65hPa, 26.41°C, 545.00m; (sol) 
 - : 224, 137s, 949.55hPa, 26.42°C, 545.00m; (sol) 
 - : 225, 138s, 949.61hPa, 26.42°C, 546.00m; (sol) 
 - : 226, 138s, 949.58hPa, 26.44°C, 545.00m; (sol) 
 - : 227, 139s, 949.58hPa, 26.44°C, 545.00m; (sol) 
 - : 228, 139s, 949.59hPa, 26.45°C, 545.00m; (sol) 
 - : 229, 140s, 949.59hPa, 26.45°C, 545.00m; (sol) 
 - : 230, 141s, 949.63hPa, 26.44°C, 545.00m; (sol) 
 - : 231, 141s, 949.56hPa, 26.45°C, 545.00m; (sol) 
 - : 232, 142s, 949.55hPa, 26.46°C, 545.00m; (sol) 
 - : 233, 142s, 949.56hPa, 26.47°C, 546.00m; (sol) 
 - : 234, 143s, 949.57hPa, 26.46°C, 545.00m; (sol) 
 - : 235, 144s, 949.61hPa, 26.48°C, 545.00m; (sol) 
 - : 236, 144s, 949.49hPa, 26.47°C, 545.00m; (sol) 
 - : 237, 145s, 949.55hPa, 26.50°C, 545.00m; (sol) 
 - : 238, 146s, 949.50hPa, 26.50°C, 545.00m; (sol) 
 - : 239, 146s, 949.57hPa, 26.51°C, 545.00m; (sol) 
 - : 240, 147s, 949.55hPa, 26.52°C, 546.00m; (sol) 
 - : 241, 147s, 949.59hPa, 26.51°C, 545.00m; (sol) 
 - : 242, 148s, 949.54hPa, 26.53°C, 545.00m; (sol) 
 - : 243, 149s, 949.56hPa, 26.54°C, 545.00m; (sol) 
 - : 244, 149s, 949.55hPa, 26.54°C, 546.00m; (sol) 
 - : 245, 150s, 949.56hPa, 26.55°C, 545.00m; (sol) 
 - : 246, 150s, 949.52hPa, 26.55°C, 545.00m; (sol) 
 - : 247, 151s, 949.58hPa, 26.56°C, 545.00m; (sol) 
 - : 248, 152s, 949.56hPa, 26.56°C, 545.00m; (sol) 
 - : 249, 152s, 949.58hPa, 26.57°C, 545.00m; (sol) 
 - : 250, 153s, 949.54hPa, 26.57°C, 545.00m; (sol) 
 - : 251, 153s, 949.58hPa, 26.57°C, 546.00m; (sol) 
 - : 252, 154s, 949.59hPa, 26.56°C, 545.00m; (sol) 
 - : 253, 155s, 949.58hPa, 26.57°C, 545.00m; (sol) 
 - : 254, 155s, 949.53hPa, 26.58°C, 545.00m; (sol) 
 - : 255, 156s, 949.57hPa, 26.59°C, 545.00m; (sol) 
 - : 256, 156s, 949.56hPa, 26.58°C, 546.00m; (sol) 
 - : 257, 157s, 949.57hPa, 26.59°C, 545.00m; (sol) 
 - : 258, 158s, 949.53hPa, 26.58°C, 546.00m; (sol) 
 - : 259, 158s, 949.58hPa, 26.59°C, 545.00m; (sol) 
 - : 260, 159s, 949.58hPa, 26.58°C, 546.00m; (sol) 
 - : 261, 159s, 949.56hPa, 26.58°C, 546.00m; (sol) 
 - : 262, 160s, 949.59hPa, 26.58°C, 545.00m; (sol) 
 - : 263, 161s, 949.58hPa, 26.57°C, 545.00m; (sol) 
 - : 264, 161s, 949.53hPa, 26.58°C, 546.00m; (sol) 
 - : 265, 162s, 949.60hPa, 26.59°C, 545.00m; (sol) 
 - : 266, 163s, 949.55hPa, 26.59°C, 545.00m; (sol) 
 - : 267, 163s, 949.55hPa, 26.60°C, 545.00m; (sol) 
 - : 268, 164s, 949.55hPa, 26.59°C, 546.00m; (sol) 
 - : 269, 164s, 949.50hPa, 26.60°C, 545.00m; (sol) 
 - : 270, 165s, 949.55hPa, 26.60°C, 546.00m; (sol) 
 - : 271, 166s, 949.47hPa, 26.60°C, 545.00m; (sol) 
 - : 272, 166s, 949.63hPa, 26.61°C, 546.00m; (sol) 
 - : 273, 167s, 949.58hPa, 26.62°C, 545.00m; (sol) 
 - : 274, 167s, 949.56hPa, 26.62°C, 545.00m; (sol) 
 - : 275, 168s, 949.60hPa, 26.64°C, 545.00m; (sol) 
 - : 276, 169s, 949.60hPa, 26.63°C, 545.00m; (sol) 
 - : 277, 169s, 949.57hPa, 26.64°C, 545.00m; (sol) 
 - : 278, 170s, 949.57hPa, 26.64°C, 545.00m; (sol) 
 - : 279, 171s, 949.62hPa, 26.66°C, 546.00m; (sol) 
 - : 280, 171s, 949.58hPa, 26.65°C, 545.00m; (sol) 
 - : 281, 172s, 949.54hPa, 26.65°C, 545.00m; (sol) 
 - : 282, 172s, 949.61hPa, 26.65°C, 544.00m; (sol) 
 - : 283, 173s, 949.59hPa, 26.66°C, 545.00m; (sol) 
 - : 284, 174s, 949.58hPa, 26.65°C, 545.00m; (sol) 
 - : 285, 174s, 949.52hPa, 26.65°C, 545.00m; (sol) 
 - : 286, 175s, 949.61hPa, 26.62°C, 545.00m; (sol) 
 - : 287, 175s, 949.47hPa, 26.65°C, 545.00m; (sol) 
 - : 288, 176s, 949.53hPa, 26.66°C, 545.00m; (sol) 
 - : 289, 177s, 949.55hPa, 26.65°C, 546.00m; (sol) 
 - : 290, 177s, 949.49hPa, 26.63°C, 546.00m; (sol) 
 - : 291, 178s, 949.50hPa, 26.63°C, 545.00m; (sol) 
 - : 292, 179s, 949.62hPa, 26.66°C, 545.00m; (sol) 
 - : 293, 179s, 949.54hPa, 26.66°C, 544.00m; (sol) 
 - : 294, 180s, 949.56hPa, 26.68°C, 546.00m; (sol) 
 - : 295, 180s, 949.56hPa, 26.68°C, 545.00m; (sol) 
 - : 296, 181s, 949.60hPa, 26.69°C, 545.00m; (sol) 
 - : 297, 182s, 949.59hPa, 26.68°C, 546.00m; (sol) 
 - : 298, 182s, 949.53hPa, 26.70°C, 545.00m; (sol) 
 - : 299, 183s, 949.52hPa, 26.69°C, 546.00m; (sol) 
 - : 300, 183s, 949.59hPa, 26.68°C, 545.00m; (sol) 
 - : 301, 184s, 949.63hPa, 26.67°C, 545.00m; (sol) 
 - : 302, 185s, 949.51hPa, 26.66°C, 545.00m; (sol) 
 - : 303, 185s, 949.49hPa, 26.65°C, 546.00m; (sol) 
 - : 304, 186s, 949.60hPa, 26.65°C, 545.00m; (sol) 
 - : 305, 187s, 949.62hPa, 26.64°C, 546.00m; (sol) 
 - : 306, 187s, 949.49hPa, 26.63°C, 545.00m; (sol) 
 - : 307, 188s, 949.59hPa, 26.62°C, 546.00m; (sol) 
 - : 308, 188s, 949.52hPa, 26.62°C, 546.00m; (sol) 
 - : 309, 189s, 949.58hPa, 26.61°C, 546.00m; (sol) 
 - : 310, 190s, 949.52hPa, 26.61°C, 545.00m; (sol) 
 - : 311, 190s, 949.58hPa, 26.59°C, 545.00m; (sol) 
 - : 312, 191s, 949.53hPa, 26.58°C, 545.00m; (sol) 
 - : 313, 191s, 949.59hPa, 26.56°C, 546.00m; (sol) 
 - : 314, 192s, 949.54hPa, 26.55°C, 545.00m; (sol) 
 - : 315, 193s, 949.56hPa, 26.54°C, 545.00m; (sol) 
 - : 316, 193s, 949.54hPa, 26.53°C, 545.00m; (sol) 
 - : 317, 194s, 949.54hPa, 26.51°C, 545.00m; (sol) 
 - : 318, 195s, 949.49hPa, 26.50°C, 546.00m; (sol) 
 - : 319, 195s, 949.59hPa, 26.49°C, 545.00m; (sol) 
 - : 320, 196s, 949.54hPa, 26.49°C, 546.00m; (sol) 
 - : 321, 196s, 949.52hPa, 26.48°C, 545.00m; (sol) 
 - : 322, 197s, 949.67hPa, 26.48°C, 545.00m; (sol) 
 - : 323, 198s, 949.56hPa, 26.47°C, 545.00m; (sol) 
 - : 324, 198s, 949.55hPa, 26.44°C, 545.00m; (sol) 
 - : 325, 199s, 949.62hPa, 26.45°C, 546.00m; (sol) 
 - : 326, 199s, 949.58hPa, 26.42°C, 545.00m; (sol) 
 - : 327, 200s, 949.60hPa, 26.43°C, 545.00m; (sol) 
 - : 328, 201s, 949.55hPa, 26.42°C, 545.00m; (sol) 
 - : 329, 201s, 949.58hPa, 26.42°C, 545.00m; (sol) 
 - : 330, 202s, 949.56hPa, 26.41°C, 545.00m; (sol) 
 - : 331, 202s, 949.54hPa, 26.40°C, 545.00m; (sol) 
 - : 332, 203s, 949.54hPa, 26.40°C, 545.00m; (sol) 
 - : 333, 204s, 949.60hPa, 26.40°C, 545.00m; (sol) 
 - : 334, 204s, 949.58hPa, 26.40°C, 545.00m; (sol) 
 - : 335, 205s, 949.62hPa, 26.39°C, 545.00m; (sol) 
 - : 336, 205s, 949.60hPa, 26.38°C, 545.00m; (sol) 
 - : 337, 206s, 949.61hPa, 26.38°C, 545.00m; (sol) 
 - : 338, 207s, 949.58hPa, 26.39°C, 545.00m; (sol) 
 - : 339, 207s, 949.61hPa, 26.39°C, 545.00m; (sol) 
 - : 340, 208s, 949.69hPa, 26.38°C, 545.00m; (sol) 
 - : 341, 208s, 949.58hPa, 26.36°C, 545.00m; (sol) 
 - : 342, 209s, 949.62hPa, 26.35°C, 545.00m; (sol) 
 - : 343, 210s, 949.63hPa, 26.36°C, 545.00m; (sol) 
 - : 344, 210s, 949.61hPa, 26.36°C, 545.00m; (sol) 
 - : 345, 211s, 949.59hPa, 26.37°C, 545.00m; (sol) 
 - : 346, 212s, 949.68hPa, 26.37°C, 544.00m; (sol) 
 - : 347, 212s, 949.58hPa, 26.36°C, 545.00m; (sol) 
 - : 348, 213s, 949.70hPa, 26.37°C, 545.00m; (sol) 
 - : 349, 213s, 949.57hPa, 26.38°C, 544.00m; (sol) 
 - : 350, 214s, 949.56hPa, 26.37°C, 545.00m; (sol) 
 - : 351, 215s, 949.58hPa, 26.38°C, 545.00m; (sol) 
 - : 352, 215s, 949.68hPa, 26.37°C, 545.00m; (sol) 
 - : 353, 216s, 949.68hPa, 26.37°C, 545.00m; (sol) 
 - : 354, 216s, 949.68hPa, 26.37°C, 545.00m; (sol) 
 - : 355, 217s, 949.69hPa, 26.36°C, 546.00m; (sol) 
 - : 356, 218s, 949.60hPa, 26.38°C, 544.00m; (sol) 
 - : 357, 218s, 949.65hPa, 26.37°C, 545.00m; (sol) 
 - : 358, 219s, 949.61hPa, 26.38°C, 544.00m; (sol) 
 - : 359, 220s, 949.65hPa, 26.39°C, 545.00m; (sol) 
 - : 360, 220s, 949.68hPa, 26.39°C, 545.00m; (sol) 
 - : 361, 221s, 949.60hPa, 26.40°C, 546.00m; (sol) 
 - : 362, 221s, 949.63hPa, 26.40°C, 545.00m; (sol) 
 - : 363, 222s, 949.60hPa, 26.40°C, 546.00m; (sol) 
 - : 364, 223s, 949.69hPa, 26.40°C, 545.00m; (sol) 
 - : 365, 223s, 949.58hPa, 26.40°C, 545.00m; (sol) 
 - : 366, 224s, 949.61hPa, 26.40°C, 545.00m; (sol) 
